driver_id,total_fare,avg_distance
15,117.92,18.11
29,7.54,45.37
73,48.95,6.28
3,206.73000000000002,24.575
59,354.78,21.863333333333333
85,72.34,35.8
47,130.11,13.15
27,123.67,42.71
75,75.76,46.15
26,151.12,15.605
78,149.33,9.66
68,94.89,9.51
19,59.37,29.17
93,76.22,2.14
40,100.81,5.04
44,119.66,33.34
82,217.49,9.835
53,116.59,33.78
86,198.71999999999997,43.465
97,251.35,17.580000000000002
79,83.36,11.36
56,145.4,21.9
10,137.35,35.17
63,76.25,34.485
65,135.62,12.96
4,75.44,44.9
39,100.46,7.84
12,70.68,30.27
83,298.27,17.433333333333334
13,141.67,30.83
14,19.1,33.33
66,173.86,47.11
72,131.63,15.96
76,110.16,10.34
2,124.28,34.94
80,81.68,30.38
50,324.77,18.87333333333333
45,93.44,32.83
57,252.63,32.965
